Fault_Index,Latitude,Longitude,Depth
55,343936.3045,1169143.971,6654.919079
55,343311.3362,1170023.431,6820.940272
55,343936.3045,1170023.431,6778.450217
56,345951.1037,1166515.25,6464.155452
56,346275.9024,1166515.25,6816.467365
56,345951.1037,1167424.876,6535.410456
56,346275.9024,1167424.876,6887.722369
57,344350.8954,1164587.127,6822.7528
57,344828.3935,1164587.127,6366.65239
57,344350.8954,1165331.279,7069.709612
57,344828.3935,1165331.279,6613.609202
58,343866.7651,1169104.844,6568.617568
58,343866.7651,1169104.844,6568.617568
58,343866.7651,1169104.844,6568.617568
58,343866.7651,1169104.844,6568.617568
59,345906.4491,1166763.671,6414.533153
59,346278.1251,1166763.671,6587.1074
59,345906.4491,1167429.769,7083.521922
59,346278.1251,1167429.769,7256.096169
60,344519.2726,1161111.367,6918.232112
60,344519.2726,1161111.367,6918.232112
60,344519.2726,1161111.367,6918.232112
60,344519.2726,1161111.367,6918.232112
61,342636.4553,1167698.957,6644.679922
61,343176.7521,1167698.957,6672.777019
61,342636.4553,1168257.621,6568.187343
61,343176.7521,1168257.621,6596.284439
62,341122.6337,1170310.383,6868.808972
62,341122.6337,1170310.383,6868.808972
62,341122.6337,1170310.383,6868.808972
62,341122.6337,1170310.383,6868.808972
63,343907.5558,1169565.186,6628.270707
63,344108.7619,1169565.186,6726.313073
63,343907.5558,1169866.19,6585.646599
63,344108.7619,1169866.19,6683.688966
64,346018.2169,1166388.806,6741.322312
64,346279.9041,1166388.806,6807.964978
64,346018.2169,1167068.036,6963.753251
64,346279.9041,1167068.036,7030.395917
65,344410.3216,1160527.506,7131.273844
65,344410.3216,1160527.506,7131.273844
65,344410.3216,1160527.506,7131.273844
65,344410.3216,1160527.506,7131.273844
66,342750.4992,1166417.727,6488.769393
66,342750.4992,1166417.727,6488.769393
66,342750.4992,1166417.727,6488.769393
66,342750.4992,1166417.727,6488.769393
67,343672.9242,1169105.249,6607.739588
67,344093.5383,1169105.249,6466.424673
67,343672.9242,1169870.567,6906.836838
67,344093.5383,1169870.567,6765.521923
68,345849.9523,1167005.014,6941.860169
68,346054.2575,1167005.014,6844.616384
68,345849.9523,1167507.83,6728.395226
68,346054.2575,1167507.83,6631.151441
69,344610.1455,1165032.499,6725.920193
69,345022.6636,1165032.499,6510.799996
69,344610.1455,1165321.917,6735.303663
69,345022.6636,1165321.917,6520.183465
70,343181.2058,1167324.19,6504.00209
70,343369.8842,1167324.19,6308.710745
70,343181.2058,1167424.218,6937.150425
70,343369.8842,1167424.218,6741.85908
71,343760.6236,1168286.13,6435.798173
71,343760.6236,1168286.13,6435.798173
71,343760.6236,1168286.13,6435.798173
71,343760.6236,1168286.13,6435.798173
72,343755.291,1170034.009,6634.849325
72,344120.0845,1170034.009,6795.409362
72,343755.291,1170472.509,6968.250299
72,344120.0845,1170472.509,7128.810335
73,343993.7352,1160518.06,7007.438153
73,344562.887,1160518.06,6986.965947
73,343993.7352,1161015.386,6816.954457
73,344562.887,1161015.386,6796.48225
74,343685.5795,1168927.055,6586.380229
74,343814.9011,1168927.055,6670.276369
74,343685.5795,1169283.619,6911.66497
74,343814.9011,1169283.619,6995.56111
75,342855.6025,1167395.675,6422.940617
75,343377.3565,1167395.675,6496.994249
75,342855.6025,1168023.936,6402.533589
75,343377.3565,1168023.936,6476.587221
76,344051.1324,1167402.818,6499.278029
76,344405.1391,1167402.818,6830.135313
76,344051.1324,1167937.355,6557.631748
76,344405.1391,1167937.355,6888.489032
77,343761.1137,1167042.295,6478.367783
77,343874.2461,1167042.295,6030.342205
77,343761.1137,1167168.504,6775.427834
77,343874.2461,1167168.504,6327.402255
78,346249.1532,1165295.135,7555.549041
78,346249.1532,1165295.135,7555.549041
78,346249.1532,1165295.135,7555.549041
78,346249.1532,1165295.135,7555.549041
79,342858.9173,1167526.375,6205.596945
79,343435.2568,1167526.375,6632.562357
79,342858.9173,1167852.021,6213.867015
79,343435.2568,1167852.021,6640.832427
80,342890.2024,1169601.439,7257.437654
80,342890.2024,1169601.439,7257.437654
80,342890.2024,1169601.439,7257.437654
80,342890.2024,1169601.439,7257.437654
81,343816.6294,1167506.513,6494.307641
81,344007.1243,1167506.513,6613.727082
81,343816.6294,1167949.969,5989.395573
81,344007.1243,1167949.969,6108.815015
82,343823.4585,1167116.416,6664.665823
82,344147.3412,1167116.416,6709.40613
82,343823.4585,1167807.167,6337.740617
82,344147.3412,1167807.167,6382.480923
83,344289.3705,1168387.651,6460.741067
83,344342.9421,1168387.651,6713.535064
83,344289.3705,1168413.692,6388.206356
83,344342.9421,1168413.692,6641.000353
84,344232.9215,1167704.176,6905.416387
84,344367.7726,1167704.176,6782.470235
84,344232.9215,1168176.859,6906.217902
84,344367.7726,1168176.859,6783.27175
85,343269.89,1168255.16,6608.52749
85,343470.7062,1168255.16,6508.286257
85,343269.89,1168453.707,6446.11303
85,343470.7062,1168453.707,6345.871797
86,344193.7597,1167684.897,6093.3818
86,344350.432,1167684.897,6235.250462
